word_simplified,word_traditional,pinyin,pinyin_style2,hsk30_level,hsk30_level_zh,cc_cedict_english_definition,Group
得到,得到,dé dào,de2 dao4,1,一级,to get; to obtain; to receive,Group 4
的,的,de,de,1,一级,(bound form) bull's-eye; target,Group 4
等,等,děng,deng3,1,一级,to wait for; to await/by the time; when; till/and so on; etc.; et al./(bound form) class; rank; grade/(bound form) equal to; same as/(used to end an enumeration)/(literary) (plural suffix attached to a personal pronoun or noun),Group 4
第,第,dì,di4,1,一级,"(prefix indicating ordinal number, as in 第六[di4 liu4] ""sixth"")/(literary) grades in which successful candidates in the imperial examinations were placed/(old) residence of a high official/(literary) but; however/(literary) only; just",Group 4
地,地,dì,di4,1,一级,earth/ground/field/place/land/CL:片[pian4],Group 4
地,地,dì,di4,1,一级,earth/ground/field/place/land/CL:片[pian4],Group 4
弟弟,弟弟,dì dì,di4 di4,1,一级,"younger brother/CL:個|个[ge4],位[wei4]",Group 4
地点,地點,dì diǎn,di4 dian3,1,一级,place/site/location/venue/CL:個|个[ge4],Group 4
地方,地方,dì fāng,di4 fang1,1,一级,"area/place/space/room/territory/CL:處|处[chu4],個|个[ge4],塊|块[kuai4]",Group 4
地上,地上,dì shàng,di4 shang4,1,一级,on the ground/on the floor,Group 4
地图,地圖,dì tú,di4 tu2,1,一级,"map/CL:張|张[zhang1],本[ben3]",Group 4
电,電,diàn,dian4,1,一级,lightning/electricity/electric (bound form)/to get (or give) an electric shock/phone call or telegram etc/to send via telephone or telegram etc,Group 5
点,點,diǎn,dian3,1,一级,point/dot/drop/speck/o'clock/point (in space or time)/to draw a dot/to check on a list/to choose/to order (food in a restaurant)/to touch briefly/to hint/to light/to ignite/to pour a liquid drop by drop/(old) one fifth of a two-hour watch 更[geng1]/dot stroke in Chinese characters/classifier for items,Group 5
电话,電話,diàn huà,dian4 hua4,1,一级,telephone/CL:部[bu4]/phone call/CL:通[tong1]/phone number,Group 5
电脑,電腦,diàn nǎo,dian4 nao3,1,一级,computer/CL:臺|台[tai2],Group 5
电视,電視,diàn shì,dian4 shi4,1,一级,"television; TV/CL:臺|台[tai2],個|个[ge4]",Group 5
电视机,電視機,diàn shì jī,dian4 shi4 ji1,1,一级,television set/CL:臺|台[tai2],Group 5
电影,電影,diàn yǐng,dian4 ying3,1,一级,"movie; film/CL:部[bu4],片[pian4],幕[mu4],場|场[chang3]",Group 5
电影院,電影院,diàn yǐng yuàn,dian4 ying3 yuan4,1,一级,"cinema; movie theater/CL:家[jia1],座[zuo4]",Group 5
动,動,dòng,dong4,1,一级,"(of sth) to move/to set in movement/to displace/to touch/to make use of/to stir (emotions)/to alter/abbr. for 動詞|动词[dong4 ci2], verb",Group 5
东,東,dōng,dong1,1,一级,east/host (i.e. sitting on east side of guest)/landlord,Group 5
东边,東邊,dōng biān,dong1 bian1,1,一级,east/east side/eastern part/to the east of,Group 5
东西,東西,dōng xī,dong1 xi1,1,一级,"thing/stuff/person/CL:個|个[ge4],件[jian4]",Group 5
动作,動作,dòng zuò,dong4 zuo4,1,一级,movement; motion; action (CL:個|个[ge4])/to act; to move,Group 5
都,都,dōu,dou1,1,一级,capital city/metropolis,Group 5
读,讀,dú,du2,1,一级,to read out; to read aloud/to read/to attend (school); to study (a subject in school)/to pronounce,Group 5
读书,讀書,dú shū,du2 shu1,1,一级,to read a book/to study/to attend school,Group 6
对,對,duì,dui4,1,一级,right; correct/towards; at; for/concerning; regarding/to treat (sb a certain way)/to face/(bound form) opposite; facing; matching/to match together; to adjust/to fit; to suit/to answer; to reply/to add; to pour in (a fluid)/to check; to compare/classifier: couple; pair,Group 6
对不起,對不起,duì bù qǐ,dui4 bu4 qi3,1,一级,I'm sorry; excuse me; I beg your pardon/to let (sb) down; to disappoint,Group 6
多,多,duō,duo1,1,一级,many; much/too many; in excess/(after a numeral) ... odd/how (to what extent) (Taiwan pr. [duo2])/(bound form) multi-; poly-,Group 6
多少,多少,duō shǎo,duo1 shao3,1,一级,"how much?; how many?/(phone number, student ID etc) what number?",Group 6
饿,餓,è,e4,1,一级,to be hungry/hungry/to starve (sb),Group 6
二,二,èr,er4,1,一级,two/2/(Beijing dialect) stupid,Group 6
儿子,兒子,ér zi,er2 zi,1,一级,son,Group 6
饭,飯,fàn,fan4,1,一级,cooked rice/CL:碗[wan3]/meal/CL:頓|顿[dun4]/(loanword) fan/devotee,Group 6
饭店,飯店,fàn diàn,fan4 dian4,1,一级,"restaurant/hotel/CL:家[jia1],個|个[ge4]",Group 6
放,放,fàng,fang4,1,一级,to put/to place/to release/to free/to let go/to let out/to set off (fireworks),Group 6
放学,放學,fàng xué,fang4 xue2,1,一级,to dismiss students at the end of the school day,Group 6
放假,放假,fàng jià,fang4 jia4,1,一级,to have a holiday or vacation,Group 6
房间,房間,fáng jiān,fang2 jian1,1,一级,"room/CL:間|间[jian1],個|个[ge4]",Group 6
房子,房子,fáng zi,fang2 zi,1,一级,"house/building (single- or two-story)/apartment/room/CL:棟|栋[dong4],幢[zhuang4],座[zuo4],套[tao4],間|间[jian1]",Group 7
飞,飛,fēi,fei1,1,一级,to fly,Group 7
非常,非常,fēi cháng,fei1 chang2,1,一级,very; really/unusual; extraordinary,Group 7
飞机,飛機,fēi jī,fei1 ji1,1,一级,airplane/CL:架[jia4],Group 7
分,分,fēn,fen1,1,一级,part/share/ingredient/component,Group 7
风,風,fēng,feng1,1,一级,"wind/news/style/custom/manner/CL:陣|阵[zhen4],絲|丝[si1]",Group 7
干,"乾,乹,干,幹,亁",gàn,gan4,1,一级,tree trunk/main part of sth/to manage/to work/to do/capable/cadre/to kill (slang)/to fuck (vulgar)/(coll.) pissed off/annoyed,Group 7
干,"乾,乹,干,幹,亁",gàn,gan4,1,一级,tree trunk/main part of sth/to manage/to work/to do/capable/cadre/to kill (slang)/to fuck (vulgar)/(coll.) pissed off/annoyed,Group 7
干净,乾淨,gān jìng,gan1 jing4,1,一级,clean/neat,Group 7
干什么,幹什麼,gàn shén me,gan4 shen2 me,1,一级,what are you doing?/what's he up to?,Group 7
高,高,gāo,gao1,1,一级,high/tall/above average/loud/your (honorific),Group 7
告诉,告訴,gào sù,gao4 su4,1,一级,to tell; to inform; to let know,Group 7
高兴,高興,gāo xìng,gao1 xing4,1,一级,happy/glad/willing (to do sth)/in a cheerful mood,Group 7
歌,"歌,謌",gē,ge1,1,一级,variant of 歌[ge1],Group 7
哥哥,哥哥,gē gē,ge1 ge1,1,一级,"older brother/CL:個|个[ge4],位[wei4]",Group 7
个,"個,箇",gè,ge4,1,一级,variant of 個|个[ge4],Group 8
给,給,gěi,gei3,1,一级,to supply/to provide,Group 8
跟,跟,gēn,gen1,1,一级,heel/to follow closely/to go with/(of a woman) to marry sb/with/compared with/to/towards/and (joining two nouns),Group 8
工人,工人,gōng rén,gong1 ren2,1,一级,"worker/CL:個|个[ge4],名[ming2]",Group 8
工作,工作,gōng zuò,gong1 zuo4,1,一级,"to work/(of a machine) to operate/job/work/task/CL:個|个[ge4],份[fen4],項|项[xiang4]",Group 8
关,關,guān,guan1,1,一级,"mountain pass/to close; to shut; to turn off/to confine; to lock (sb) up; to shut (sb in a room, a bird in a cage etc)/to concern; to involve",Group 8
关上,關上,guān shàng,guan1 shang4,1,一级,"to close (a door)/to turn off (light, electrical equipment etc)",Group 8
贵,貴,guì,gui4,1,一级,expensive/noble/precious/(honorific) your,Group 8
国,國,guó,guo2,1,一级,country; nation; state (CL:個|个[ge4])/(bound form) national,Group 8
过,過,guò,guo4,1,一级,(experienced action marker),Group 8
国家,國家,guó jiā,guo2 jia1,1,一级,country; nation; state/CL:個|个[ge4],Group 8
国外,國外,guó wài,guo2 wai4,1,一级,abroad/external (affairs)/overseas/foreign,Group 8
还,還,hái,hai2,1,一级,to pay back/to return,Group 8
还,還,hái,hai2,1,一级,to pay back/to return,Group 8
还有,還有,hái yǒu,hai2 you3,1,一级,furthermore/in addition/still/also,Group 8
还是,還是,hái shì,hai2 shi4,1,一级,still (as before)/had better/unexpectedly/or,Group 8
孩子,孩子,hái zi,hai2 zi,1,一级,child,Group 8
汉语,漢語,hàn yǔ,han4 yu3,1,一级,Chinese language/CL:門|门[men2],Group 8
汉字,漢字,hàn zì,han4 zi4,1,一级,Chinese character/CL:個|个[ge4]/Japanese: kanji/Korean: hanja/Vietnamese: hán tự,Group 9
好吃,好吃,hǎo chī,hao3 chi1,1,一级,to be fond of eating/to be gluttonous,Group 9
好,好,hǎo,hao3,1,一级,to be fond of; to have a tendency to; to be prone to,Group 9
号,號,hào,hao4,1,一级,ordinal number/day of a month/mark/sign/business establishment/size/ship suffix/horn (wind instrument)/bugle call/assumed name/to take a pulse/classifier used to indicate number of people,Group 9
好看,好看,hǎo kàn,hao3 kan4,1,一级,"good-looking/nice-looking/good (of a movie, book, TV show etc)/embarrassed/humiliated",Group 9
好听,好聽,hǎo tīng,hao3 ting1,1,一级,pleasant to hear,Group 9
好玩儿,好玩兒,hǎo wán ér,hao3 wan2 er2,1,一级,erhua variant of 好玩[hao3 wan2],Group 9
和,"和,咊,龢",hé,he2,1,一级,old variant of 和[he2]/harmonious,Group 9
喝,喝,hē,he1,1,一级,to shout,Group 9
很,很,hěn,hen3,1,一级,(adverb of degree)/quite/very/awfully,Group 9
后,"後,后",hòu,hou4,1,一级,back/behind/rear/afterwards/after/later/post-,Group 9
后边,後邊,hòu biān,hou4 bian1,1,一级,the back; the rear; the last bit/behind; near the end; at the back/later; afterwards,Group 9
后天,後天,hòu tiān,hou4 tian1,1,一级,"the day after tomorrow/life after birth (the period in which one develops through experiences, contrasted with 先天[xian1 tian1])/acquired (not innate or congenital)/a posteriori",Group 9
话,"話,諙",huà,hua4,1,一级,old variant of 話|话[hua4],Group 9
花,"花,芲,蘤",huā,hua1,1,一级,variant of 花[hua1]/flower/blossom/also pr. [wei3],Group 9
坏,壞,huài,huai4,1,一级,bad/spoiled/broken/to break down/(suffix) to the utmost,Group 10
回,"回,迴,逥",huí,hui2,1,一级,variant of 迴|回[hui2],Group 10
回答,回答,huí dá,hui2 da2,1,一级,to reply; to answer/reply; answer,Group 10
回到,回到,huí dào,hui2 dao4,1,一级,to return to,Group 10
回家,回家,huí jiā,hui2 jia1,1,一级,to return home,Group 10
会,會,huì,hui4,1,一级,to balance an account/accounting/accountant,Group 10
回来,回來,huí lái,hui2 lai2,1,一级,to return; to come back,Group 10
回去,回去,huí qù,hui2 qu4,1,一级,to return/to go back,Group 10
火车,火車,huǒ chē,huo3 che1,1,一级,"train/CL:列[lie4],節|节[jie2],班[ban1],趟[tang4]",Group 10
记,記,jì,ji4,1,一级,"to record/to note/to memorize/to remember/mark/sign/classifier for blows, kicks, shots",Group 10
机场,機場,jī chǎng,ji1 chang3,1,一级,"airport; airfield/(slang) service provider for Shadowsocks or similar software for circumventing Internet censorship/CL:家[jia1],處|处[chu4]",Group 10
鸡蛋,雞蛋,jī dàn,ji1 dan4,1,一级,"(chicken) egg/hen's egg/CL:個|个[ge4],打[da2]",Group 10
记得,記得,jì de,ji4 de,1,一级,to remember,Group 10
几,"幾,几",jǐ,ji3,1,一级,how much/how many/several/a few,Group 10
机票,機票,jī piào,ji1 piao4,1,一级,air ticket/passenger ticket/CL:張|张[zhang1],Group 10
记住,記住,jì zhù,ji4 zhu4,1,一级,to remember/to bear in mind/to learn by heart,Group 10
家,"家,傢",jiā,jia1,1,一级,"home/family/(polite) my (sister, uncle etc)/classifier for families or businesses/refers to the philosophical schools of pre-Han China/noun suffix for a specialist in some activity, such as a musician or revolutionary, corresponding to English -ist, -er, -ary or -ian/CL:個|个[ge4]",Group 10
家里,家裡,jiā lǐ,jia1 li3,1,一级,home,Group 10
家人,家人,jiā rén,jia1 ren2,1,一级,family member/(old) servant,Group 11
间,間,jiān,jian1,1,一级,gap/to separate/to thin out (seedlings)/to sow discontent,Group 11
见面,見面,jiàn miàn,jian4 mian4,1,一级,to meet; to see each other/CL:次[ci4],Group 11
见,見,jiàn,jian4,1,一级,to appear/also written 現|现[xian4],Group 11
叫,"叫,呌",jiào,jiao4,1,一级,variant of 叫[jiao4],Group 11
教,教,jiào,jiao4,1,一级,religion/teaching/to make/to cause/to tell,Group 11
教学楼,教學樓,jiào xué lóu,jiao4 xue2 lou2,1,一级,school building; academic building,Group 11
介绍,介紹,jiè shào,jie4 shao4,1,一级,to introduce (sb to sb)/to give a presentation/to present (sb for a job etc)/introduction,Group 11
姐姐,姐姐,jiě jiě,jie3 jie3,1,一级,older sister/CL:個|个[ge4],Group 11
进,進,jìn,jin4,1,一级,to go forward/to advance/to go in/to enter/to put in/to submit/to take in/to admit/(math.) base of a number system/classifier for sections in a building or residential compound,Group 11
进来,進來,jìn lái,jin4 lai2,1,一级,to come in,Group 11
今年,今年,jīn nián,jin1 nian2,1,一级,this year,Group 11
进去,進去,jìn qù,jin4 qu4,1,一级,to go in,Group 11
今天,今天,jīn tiān,jin1 tian1,1,一级,today/the present time; now,Group 11
就,就,jiù,jiu4,1,一级,(after a suppositional clause) in that case; then/(after a clause of action) as soon as; immediately after/(same as 就是[jiu4 shi4]) merely; nothing else but; simply; just; precisely; exactly/only; as little as/as much as; as many as/to approach; to move towards/to undertake; to engage in/(often followed by 著|着[zhe5]) taking advantage of/(of food) to go with/with regard to; concerning/(pattern: 就[jiu4] ... 也[ye3] ...) even if ... still .../(pattern: 不[bu4] ... 就[jiu4] ...) if not ... then must be ...,Group 11
九,九,jiǔ,jiu3,1,一级,nine/9,Group 12
觉得,覺得,jué de,jue2 de,1,一级,to think that ...; to feel that .../to feel (uncomfortable etc),Group 12
开,開,kāi,kai1,1,一级,"to open (transitive or intransitive)/(of ships, vehicles, troops etc) to start/to turn on; to put in operation; to operate; to run/to boil/to write out (a prescription, check, invoice etc)/(directional complement) away; off/carat (gold)/abbr. for Kelvin, 開爾文|开尔文[Kai1 er3 wen2]/abbr. for 開本|开本[kai1 ben3], book format",Group 12
开车,開車,kāi chē,kai1 che1,1,一级,to drive a car,Group 12
开会,開會,kāi huì,kai1 hui4,1,一级,to hold a meeting/to attend a meeting,Group 12
开玩笑,開玩笑,kāi wán xiào,kai1 wan2 xiao4,1,一级,to play a joke/to make fun of/to joke,Group 12
看病,看病,kàn bìng,kan4 bing4,1,一级,to visit a doctor/to see a patient,Group 12
看见,看見,kàn jiàn,kan4 jian4,1,一级,to see/to catch sight of,Group 12
看,看,kàn,kan4,1,一级,to see; to look at/to read/to watch/to visit; to call on/to consider; to regard as/to look after/to treat (a patient or illness)/to depend on/to feel (that)/(after a verb) to give it a try/to watch out for,Group 12
看到,看到,kàn dào,kan4 dao4,1,一级,to see,Group 12
考,"攷,考",kǎo,kao3,1,一级,to check/to verify/to test/to examine/to take an exam/to take an entrance exam for/deceased father,Group 12
考试,考試,kǎo shì,kao3 shi4,1,一级,to take an exam/exam/CL:次[ci4],Group 12
课,課,kè,ke4,1,一级,"subject/course/CL:門|门[men2]/class/lesson/CL:堂[tang2],節|节[jie2]/to levy/tax/form of divination",Group 12
课本,課本,kè běn,ke4 ben3,1,一级,textbook/CL:本[ben3],Group 12
渴,渴,kě,ke3,1,一级,thirsty,Group 12
课文,課文,kè wén,ke4 wen2,1,一级,text/CL:篇[pian1],Group 13
口,口,kǒu,kou3,1,一级,"mouth/classifier for things with mouths (people, domestic animals, cannons, wells etc)/classifier for bites or mouthfuls",Group 13
快,快,kuài,kuai4,1,一级,rapid/quick/speed/rate/soon/almost/to make haste/clever/sharp (of knives or wits)/forthright/plainspoken/gratified/pleased/pleasant,Group 13
块,塊,kuài,kuai4,1,一级,"lump; chunk; piece/classifier for pieces of cloth, cake, soap etc/(coll.) classifier for money and currency units",Group 13
来,來,lái,lai2,1,一级,"to come/(used as a substitute for a more specific verb)/hither (directional complement for motion toward the speaker, as in 回來|回来[hui2 lai5])/ever since (as in 自古以來|自古以来[zi4 gu3 yi3 lai2])/for the past (amount of time)/(prefix) the coming ...; the next ... (as in 來世|来世[lai2 shi4])/(between two verbs) in order to/(after a round number) approximately/(used after 得[de2] to indicate possibility, as in 談得來|谈得来[tan2 de5 lai2], or after 不[bu4] to indicate impossibility, as in 吃不來|吃不来[chi1 bu5 lai2])",Group 13
来到,來到,lái dào,lai2 dao4,1,一级,to arrive; to come,Group 13
老,老,lǎo,lao3,1,一级,prefix used before the surname of a person or a numeral indicating the order of birth of the children in a family or to indicate affection or familiarity/old (of people)/venerable (person)/experienced/of long standing/always/all the time/of the past/very/outdated/(of meat etc) tough,Group 13
老人,老人,lǎo rén,lao3 ren2,1,一级,old man or woman/the elderly/one's aged parents or grandparents,Group 13
老师,老師,lǎo shī,lao3 shi1,1,一级,"teacher/CL:個|个[ge4],位[wei4]",Group 13
了,"了,瞭",le,le,1,一级,unofficial variant of 瞭[liao4],Group 13
累,"纍,累",lèi,lei4,1,一级,rope/to bind together/to twist around,Group 13
冷,冷,lěng,leng3,1,一级,cold,Group 13
里,"里,裡,裏",lǐ,li3,1,一级,"li, ancient measure of length, approx. 500 m/neighborhood/ancient administrative unit of 25 families/(Tw) borough, administrative unit between the township 鎮|镇[zhen4] and neighborhood 鄰|邻[lin2] levels",Group 13
里边,裡邊,lǐ biān,li3 bian1,1,一级,inside,Group 13
两,兩,liǎng,liang3,1,一级,"two/both/some/a few/tael, unit of weight equal to 50 grams (modern) or 1⁄16 of a catty 斤[jin1] (old)",Group 13
零,零,líng,ling2,1,一级,zero/nought/zero sign/fractional/fragmentary/odd (of numbers)/(placed between two numbers to indicate a smaller quantity followed by a larger one)/fraction/(in mathematics) remainder (after division)/extra/to wither and fall/to wither,Group 13
六,六,liù,liu4,1,一级,six/6,Group 14
楼,樓,lóu,lou2,1,一级,"house with more than 1 story/storied building/floor/CL:層|层[ceng2],座[zuo4],棟|栋[dong4]",Group 14
楼上,樓上,lóu shàng,lou2 shang4,1,一级,upstairs/(Internet slang) previous poster in a forum thread,Group 14
楼下,樓下,lóu xià,lou2 xia4,1,一级,downstairs,Group 14
路,路,lù,lu4,1,一级,road/CL:條|条[tiao2]/journey/route/line (bus etc)/sort; kind,Group 14
路口,路口,lù kǒu,lu4 kou3,1,一级,crossing/intersection (of roads),Group 14
路上,路上,lù shàng,lu4 shang4,1,一级,on the road/on a journey/road surface,Group 14
马路,馬路,mǎ lù,ma3 lu4,1,一级,street/road/CL:條|条[tiao2],Group 14
妈妈,媽媽,mā mā,ma1 ma1,1,一级,"mama/mommy/mother/CL:個|个[ge4],位[wei4]",Group 14
吗,嗎,ma,ma,1,一级,"(question particle for ""yes-no"" questions)",Group 14
马上,馬上,mǎ shàng,ma3 shang4,1,一级,at once/right away/immediately/on horseback (i.e. by military force),Group 14
买,買,mǎi,mai3,1,一级,to buy/to purchase,Group 15
慢,慢,màn,man4,1,一级,slow,Group 15
忙,忙,máng,mang2,1,一级,busy/hurriedly/to hurry/to rush,Group 15
毛,毛,máo,mao2,1,一级,"hair/feather/down/wool/mildew/mold/coarse or semifinished/young/raw/careless/unthinking/nervous/scared/(of currency) to devalue or depreciate/classifier for Chinese fractional monetary unit ( = 角[jiao3] , = one-tenth of a yuan or 10 fen 分[fen1])",Group 15
没关系,沒關係,méi guān xì,mei2 guan1 xi4,1,一级,it doesn't matter,Group 15
妹妹,妹妹,mèi mèi,mei4 mei4,1,一级,younger sister/young woman/CL:個|个[ge4],Group 15
没,沒,méi,mei2,1,一级,drowned/to end/to die/to inundate,Group 15
没什么,沒什麼,méi shén me,mei2 shen2 me,1,一级,nothing/it doesn't matter/it's nothing/never mind,Group 15
没事儿,沒事兒,méi shì ér,mei2 shi4 er2,1,一级,to have spare time/free from work/it's not important/it's nothing/never mind,Group 15
没有,沒有,méi yǒu,mei2 you3,1,一级,haven't/hasn't/doesn't exist/to not have/to not be,Group 15
门,門,mén,men2,1,一级,"gate/door/CL:扇[shan4]/gateway/doorway/CL:個|个[ge4]/opening/valve/switch/way to do something/knack/family/house/(religious) sect/school (of thought)/class/category/phylum or division (taxonomy)/classifier for large guns/classifier for lessons, subjects, branches of technology/(suffix) -gate (i.e. scandal; derived from Watergate)",Group 15
门口,門口,mén kǒu,men2 kou3,1,一级,doorway/gate/CL:個|个[ge4],Group 15
们,們,men,men,1,一级,"plural marker for pronouns, and nouns referring to individuals",Group 15
门票,門票,mén piào,men2 piao4,1,一级,"ticket (for theater, cinema etc)",Group 15
米饭,米飯,mǐ fàn,mi3 fan4,1,一级,(cooked) rice,Group 16
